State,Year,Quater,metric_amount,metric_count,metric_type
manipur,2018,4,54503246.75234864,14801,churachandpur district
manipur,2018,4,22155446.62844094,5426,tengnoupal district
manipur,2018,4,181598328.15686062,71845,imphal west district
manipur,2018,1,12129421.383849183,4187,kangpokpi district
manipur,2018,1,747261.2810295916,646,noney district
manipur,2018,1,26028937.81002756,21960,imphal east district
manipur,2018,1,8366772.887529282,8288,thoubal district
manipur,2018,1,1924584.2384454876,1622,kakching district
manipur,2018,1,3564799.4519929583,1305,jiribam district
manipur,2018,1,1647288.6651835062,1399,ukhrul district
manipur,2018,1,1709209.2458958817,1007,tamenglong district
manipur,2018,1,236107.7403536682,329,kamjong district
manipur,2018,1,1376995.1405003848,880,chandel district
manipur,2018,1,11341627.667845085,7005,bishnupur district
manipur,2018,1,577840.1682329748,613,senapati district
manipur,2018,1,778.0896294258192,2,pherzawl district
manipur,2018,1,11708258.721273843,4081,churachandpur district
manipur,2018,1,660028.7721459618,882,tengnoupal district
manipur,2018,1,46026262.666274294,29863,imphal west district
manipur,2023,2,265835614.0,96061,kangpokpi district
manipur,2023,2,52589124.0,19828,noney district
manipur,2023,2,855990060.0,332809,imphal east district
manipur,2023,2,412755825.0,155290,thoubal district
manipur,2023,2,104524162.0,34781,kakching district
manipur,2023,2,153237238.0,53949,jiribam district
manipur,2023,2,131978491.0,41027,ukhrul district
manipur,2023,2,121710165.0,42991,tamenglong district
manipur,2023,2,19646588.0,6735,kamjong district
manipur,2023,2,105500017.0,32757,chandel district
manipur,2023,2,304861281.0,108042,bishnupur district
manipur,2023,2,139357712.0,49144,senapati district
manipur,2023,2,13802243.0,4764,pherzawl district
manipur,2023,2,309376954.0,108049,churachandpur district
manipur,2023,2,125510737.0,35862,tengnoupal district
manipur,2023,2,1347200442.0,484182,imphal west district
manipur,2023,3,270393444.0,60374,kangpokpi district
manipur,2023,3,9696801.0,3054,noney district
manipur,2023,3,762942643.0,195597,imphal east district
manipur,2023,3,289941575.0,70780,thoubal district
manipur,2023,3,68770946.0,17007,kakching district
manipur,2023,3,170419988.0,48471,jiribam district
manipur,2023,3,74546308.0,18404,ukhrul district
manipur,2023,3,105176707.0,21706,tamenglong district
manipur,2023,3,3987258.0,1252,kamjong district
manipur,2023,3,43558431.0,8965,chandel district
manipur,2023,3,228769251.0,52074,bishnupur district
manipur,2023,3,88162234.0,25056,senapati district
manipur,2023,3,9863352.0,2914,pherzawl district
manipur,2023,3,215267198.0,43375,churachandpur district
manipur,2023,3,74417046.0,13210,tengnoupal district
manipur,2023,3,1192373419.0,283239,imphal west district
manipur,2023,1,520765461.0,211256,kangpokpi district
manipur,2023,1,105173660.0,42474,noney district
manipur,2023,1,1637025593.0,659880,imphal east district
manipur,2023,1,796620060.0,315961,thoubal district
manipur,2023,1,198151744.0,73843,kakching district
manipur,2023,1,212799071.0,77431,jiribam district
manipur,2023,1,267514824.0,83455,ukhrul district
manipur,2023,1,231452890.0,86492,tamenglong district
manipur,2023,1,46200306.0,14147,kamjong district
manipur,2023,1,194324741.0,71874,chandel district
manipur,2023,1,626631062.0,231239,bishnupur district
manipur,2023,1,252756548.0,94404,senapati district
manipur,2023,1,16737449.0,7046,pherzawl district
manipur,2023,1,582341436.0,221158,churachandpur district
manipur,2023,1,294235941.0,79811,tengnoupal district
manipur,2023,1,2602833306.0,987912,imphal west district
manipur,2022,2,360381229.2430087,127346,kangpokpi district
manipur,2022,2,84254940.12916884,23197,noney district
manipur,2022,2,1017003992.8811903,334382,imphal east district
manipur,2022,2,489921006.2514488,179962,thoubal district
manipur,2022,2,124881636.16645998,45754,kakching district
manipur,2022,2,103428721.0901084,32691,jiribam district
manipur,2022,2,165524493.50724024,48388,ukhrul district
manipur,2022,2,158669784.21199045,48779,tamenglong district
manipur,2022,2,37728133.785688624,10915,kamjong district
manipur,2022,2,161255425.28835768,44845,chandel district
manipur,2022,2,427663723.98262036,132234,bishnupur district
manipur,2022,2,137415599.89701584,43777,senapati district
manipur,2022,2,8843983.191407474,2855,pherzawl district
manipur,2022,2,445674066.4756689,130821,churachandpur district
manipur,2022,2,165158485.2610599,41686,tengnoupal district
manipur,2022,2,11035105413.786879,4858000,imphal west district
manipur,2022,3,382055039.8651606,137088,kangpokpi district
manipur,2022,3,85439369.23237866,24931,noney district
manipur,2022,3,1106024473.2650971,401052,imphal east district
manipur,2022,3,502784611.8050358,198398,thoubal district
manipur,2022,3,269711112.45492435,114178,kakching district
manipur,2022,3,115824259.87868573,39634,jiribam district
manipur,2022,3,165404721.91649568,48127,ukhrul district
manipur,2022,3,150947198.95233533,48889,tamenglong district
manipur,2022,3,34540807.45741892,10597,kamjong district
manipur,2022,3,139937266.69668734,43042,chandel district
manipur,2022,3,397535713.9599227,126573,bishnupur district
manipur,2022,3,141106697.64180183,46116,senapati district
manipur,2022,3,8974350.656289712,3137,pherzawl district
manipur,2022,3,560754898.7150536,200968,churachandpur district
manipur,2022,3,167247032.01495245,44324,tengnoupal district
manipur,2022,3,11153142712.787489,4865688,imphal west district
manipur,2022,4,499527018.93453866,195796,kangpokpi district
manipur,2022,4,75780551.02724609,26985,noney district
manipur,2022,4,1124061241.8453987,417476,imphal east district
manipur,2022,4,642341521.1672155,252156,thoubal district
manipur,2022,4,477287512.8489387,205827,kakching district
manipur,2022,4,122910899.30361357,43510,jiribam district
