State,Year,Quater,Entity_Name,Metric_Amount,Metric_Count
sikkim,2020,3,737103,58794910.05378474,22543
sikkim,2020,4,737101,401393359.3730345,137621
sikkim,2020,4,737102,206942913.8594391,74462
sikkim,2020,4,737134,144436140.52819106,63754
sikkim,2020,4,737132,130294975.41495967,59211
sikkim,2020,4,737135,127733770.72283357,57488
sikkim,2020,4,737120,170500424.5865497,49743
sikkim,2020,4,737113,123348464.12495862,43961
sikkim,2020,4,737126,101486444.10675268,40905
sikkim,2020,4,737121,73139191.13560003,33882
sikkim,2020,4,737103,80259744.7201464,28640
sikkim,2020,1,737101,401678944.0832668,198806
sikkim,2020,1,737102,88772696.59716484,39914
sikkim,2020,1,737132,62301799.7090806,34812
sikkim,2020,1,737134,60978284.12445666,33365
sikkim,2020,1,737135,60406556.55173436,32484
sikkim,2020,1,737136,31562106.466452874,23977
sikkim,2020,1,737113,53543544.94433001,23512
sikkim,2020,1,737126,43678592.89017106,21299
sikkim,2020,1,737120,52272287.16991089,20694
sikkim,2020,1,737121,27168214.38679769,17254
sikkim,2021,2,737101,724746706.3079436,297452
sikkim,2021,2,737102,235934839.12091917,83039
sikkim,2021,2,737134,194136137.0047333,81870
sikkim,2021,2,737132,156852033.9636291,73086
sikkim,2021,2,737135,143959958.98430628,62588
sikkim,2021,2,737120,176166209.40985945,49090
sikkim,2021,2,737126,109012656.35644796,45574
sikkim,2021,2,737113,120520637.56860521,44882
sikkim,2021,2,737121,76655631.82284465,38319
sikkim,2021,2,737136,66186273.85267018,35750
sikkim,2021,3,737101,867802298.5562382,338734
sikkim,2021,3,737102,301811282.78679377,107611
sikkim,2021,3,737134,239292130.0790186,98557
sikkim,2021,3,737132,192316407.61074328,94310
sikkim,2021,3,737135,174940398.5357872,75667
sikkim,2021,3,737120,222956316.01389608,59528
sikkim,2021,3,737126,137954758.18257964,56216
sikkim,2021,3,737113,159430410.3695603,54713
sikkim,2021,3,737136,81576523.34531628,44864
sikkim,2021,3,737121,92795839.6474207,41335
sikkim,2021,4,737101,1401565372.8342977,541997
sikkim,2021,4,737102,387413440.3597043,138476
sikkim,2021,4,737132,235216438.10757113,118733
sikkim,2021,4,737134,284731076.7632046,117138
sikkim,2021,4,737135,222979795.43140694,89908
sikkim,2021,4,737120,274703246.6532579,78184
sikkim,2021,4,737113,232954032.47956002,72748
sikkim,2021,4,737126,192812272.7765864,71150
sikkim,2021,4,737136,104773159.44339293,58616
sikkim,2021,4,737103,184698962.32679385,56402
sikkim,2021,1,737101,651230894.2642756,230314
sikkim,2021,1,737102,214023413.27972007,72036
sikkim,2021,1,737134,163867637.42218336,64481
sikkim,2021,1,737132,137681981.3199845,59993
sikkim,2021,1,737135,140060691.11294314,54828
sikkim,2021,1,737113,133107495.42030288,42491
sikkim,2021,1,737120,141595710.6292783,40210
sikkim,2021,1,737126,103228998.99647489,37841
sikkim,2021,1,737136,61822486.69976698,30655
sikkim,2021,1,737121,73885821.60314554,30224
sikkim,2018,2,737101,25376078.163594432,10559
sikkim,2018,2,737102,17627063.52206016,8320
sikkim,2018,2,737132,12429404.052329008,7587
sikkim,2018,2,737134,12023487.660533402,6615
sikkim,2018,2,737136,8200222.822791161,6185
sikkim,2018,2,737113,9201956.61756061,6034
sikkim,2018,2,737135,11530694.897931118,5406
sikkim,2018,2,737120,7797319.794669708,3787
sikkim,2018,2,737126,5486738.553643836,3076
sikkim,2018,2,737103,5845389.535137591,2521
sikkim,2018,3,737101,34011083.76562938,14511
sikkim,2018,3,737102,30285691.23135621,12719
sikkim,2018,3,737132,21297531.718367998,11706
sikkim,2018,3,737136,13225690.976560615,9650
sikkim,2018,3,737134,18373605.65640023,8947
sikkim,2018,3,737135,16350127.884927034,8118
sikkim,2018,3,737113,15980561.151862796,7647
sikkim,2018,3,737120,18273776.575938575,6069
sikkim,2018,3,737126,9609944.747983705,5013
sikkim,2018,3,737121,8408431.743646935,3808
sikkim,2018,4,737101,53997162.86355927,20274
sikkim,2018,4,737102,51134858.40890253,17874
sikkim,2018,4,737132,29688373.692548778,14835
sikkim,2018,4,737134,27493186.61969518,12922
sikkim,2018,4,737135,28644361.465561144,12194
sikkim,2018,4,737136,16186830.441481423,10755
sikkim,2018,4,737113,25407465.402388126,9958
sikkim,2018,4,737120,35890081.440197214,9848
sikkim,2018,4,737126,16121583.56245052,6911
sikkim,2018,4,737103,19760103.614122108,6441
sikkim,2018,1,737101,8443342.10723518,5740
sikkim,2018,1,737102,8507451.80127644,4923
sikkim,2018,1,737132,6610610.223672188,4892
sikkim,2018,1,737136,5416856.56543864,4652
sikkim,2018,1,737135,6401450.466799366,3904
sikkim,2018,1,737134,5271681.513652561,3423
sikkim,2018,1,737113,3784089.3561765887,2353
sikkim,2018,1,737126,2909397.045070725,1875
sikkim,2018,1,737120,2684577.3333517457,1611
sikkim,2018,1,737103,1867581.060805669,1571
sikkim,2023,2,737101,1922355312.0,899962
sikkim,2023,2,737102,942635529.0,508420
sikkim,2023,2,737132,555575639.0,384514
sikkim,2023,2,737134,611304737.0,347058
sikkim,2023,2,737135,593081155.0,340788
sikkim,2023,2,737126,454894848.0,255818
sikkim,2023,2,737136,252625813.0,230648
sikkim,2023,2,737120,621970853.0,224729
sikkim,2023,2,737113,544315243.0,223355
sikkim,2023,2,737103,483131676.0,188485
sikkim,2023,3,737101,1395615692.0,848485
sikkim,2023,3,737102,1029927288.0,570454
sikkim,2023,3,737132,589245307.0,456439
sikkim,2023,3,737134,658114020.0,413304
sikkim,2023,3,737135,604907039.0,394048
sikkim,2023,3,737126,463665448.0,292086
sikkim,2023,3,737136,279557517.0,259427
sikkim,2023,3,737120,601363381.0,236059
sikkim,2023,3,737113,465812365.0,234212
sikkim,2023,3,737121,333870334.0,201103
sikkim,2023,1,737101,1331757197.0,641677
sikkim,2023,1,737102,724417237.0,377288
sikkim,2023,1,737132,504003660.0,319188
sikkim,2023,1,737134,536369515.0,285312
sikkim,2023,1,737135,510099734.0,279222
sikkim,2023,1,737136,243821971.0,200108
sikkim,2023,1,737126,377774187.0,193529
sikkim,2023,1,737113,427052065.0,167423
sikkim,2023,1,737120,411542568.0,158663
sikkim,2023,1,737121,275800527.0,140021
sikkim,2022,2,737101,1908886120.2727275,766826
sikkim,2022,2,737102,530663891.528832,209601
sikkim,2022,2,737132,323305054.1533619,180548
sikkim,2022,2,737134,367603628.9518961,163476
sikkim,2022,2,737135,286425187.3430251,137789
sikkim,2022,2,737136,163813399.01257223,119900
sikkim,2022,2,737126,254862677.89692697,106692
sikkim,2022,2,737113,315132632.0636008,105494
sikkim,2022,2,737120,350115653.0803326,104473
sikkim,2022,2,737103,237339189.39452797,77714
sikkim,2022,3,737101,1639837896.5598912,794044
sikkim,2022,3,737102,502539799.39269716,220079
sikkim,2022,3,737132,331337450.51434785,197652
sikkim,2022,3,737134,335841461.2357317,163633
sikkim,2022,3,737135,295234865.0724051,149546
sikkim,2022,3,737126,292427304.6874075,128076
sikkim,2022,3,737136,153227044.6228934,114055
sikkim,2022,3,737120,356886543.93965816,111320
sikkim,2022,3,737113,256543284.50575596,93501
sikkim,2022,3,737121,161156891.80198145,76971
sikkim,2022,4,737132,1491008376.2351952,828709
sikkim,2022,4,737101,1658113932.006267,738136
sikkim,2022,4,737102,481473592.9059185,228431
sikkim,2022,4,737134,356768812.7225659,172812
sikkim,2022,4,737135,304128893.56955755,160013
sikkim,2022,4,737126,264761199.2436604,121174
sikkim,2022,4,737136,148922707.33542886,117743
sikkim,2022,4,737120,340515167.47704965,116909
sikkim,2022,4,737113,298706697.67400277,104360
